vcf_sample	bed_sample
SAMEA111507327	SAMEA111507628-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507328	SAMEA111507632-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507329	SAMEA111507636-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507330	SAMEA111507640-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507331	SAMEA111507644-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507332	SAMEA111507648-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507333	SAMEA111507652-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507334	SAMEA111507656-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507335	SAMEA111507660-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507336	SAMEA111507664-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507337	SAMEA111507668-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507338	SAMEA111507672-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507339	SAMEA111507676-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507340	SAMEA111507680-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507341	SAMEA111507684-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507342	SAMEA111507688-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507343	SAMEA111507692-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507344	SAMEA111507696-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507345	SAMEA111507700-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507346	SAMEA111507704-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507347	SAMEA111507708-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507348	SAMEA111507712-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507349	SAMEA111507716-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507350	SAMEA111507720-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507351	SAMEA111507724-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507352	SAMEA111507728_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507353	SAMEA111507732-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507354	SAMEA111507736-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507355	SAMEA111507740_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507356	SAMEA111507744-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507357	SAMEA111507748-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507358	SAMEA111507752_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507359	SAMEA111507756-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507360	SAMEA111507760-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507361	SAMEA111507764-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507362	SAMEA111507768-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507363	SAMEA111507772-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507364	SAMEA111507776-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507365	SAMEA111507780-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507366	SAMEA111507784-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507367	SAMEA111507788-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507368	SAMEA111507792-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507369	SAMEA111507796-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507370	SAMEA111507800-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507371	SAMEA111507804-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507372	SAMEA111507808-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507373	SAMEA111507812-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507374	SAMEA111507816-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507375	SAMEA111507820-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507376	SAMEA111507824-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507377	SAMEA111507828-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507378	SAMEA111507832-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507379	SAMEA111507836-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507380	SAMEA111507840-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507381	SAMEA111507844-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507382	SAMEA111507848-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507383	SAMEA111507852-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507384	SAMEA111507856-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507385	SAMEA111507860-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507386	SAMEA111507864-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507387	SAMEA111507868-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507388	SAMEA111507872-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507389	SAMEA111507876-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507390	SAMEA111507880-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507391	SAMEA111507884-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507392	SAMEA111507888-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507393	SAMEA111507892-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507394	SAMEA111507896-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507395	SAMEA111507900-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507396	SAMEA111507904-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507397	SAMEA111507908-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507398	SAMEA111507912-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507399	SAMEA111507916-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507400	SAMEA111507920-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507401	SAMEA111507924-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507402	SAMEA111507928-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507403	SAMEA111507932_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507404	SAMEA111507936-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507405	SAMEA111507940-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507406	SAMEA111507944-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507407	SAMEA111507948-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507408	SAMEA111507952-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507409	SAMEA111507956-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507410	SAMEA111507960-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507411	SAMEA111507964-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507412	SAMEA111507968-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507413	SAMEA111507972-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507414	SAMEA111507976-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507415	SAMEA111507980-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507416	SAMEA111507984-STARAligned.sortedByCoord.out.unique_rg_added.dedup
