id chrom gene_start gene_end
ENSSSCG00000048769 1 1 5434
ENSSSCG00000063597 1 792 3197
ENSSSCG00000037372 1 13998 22152
ENSSSCG00000027257 1 23676 40032
ENSSSCG00000029697 1 96218 186769
ENSSSCG00000049216 1 108537 114011
ENSSSCG00000027726 1 199358 211346
ENSSSCG00000053918 1 503802 507639
ENSSSCG00000004010 1 512678 540896
ENSSSCG00000004009 1 540929 552882
ENSSSCG00000030155 1 556911 576708
ENSSSCG00000038931 1 575725 578431
ENSSSCG00000004008 1 578480 653704
ENSSSCG00000004012 1 855389 882473
ENSSSCG00000032192 1 1013707 1013802
ENSSSCG00000004013 1 1193167 1332694
ENSSSCG00000031703 1 1413935 1424271
ENSSSCG00000044594 1 1432043 1432183
ENSSSCG00000004017 1 1507627 1521666
ENSSSCG00000049642 1 1523548 1525657
ENSSSCG00000004016 1 1527441 1550812
ENSSSCG00000054333 1 1556460 1560657
ENSSSCG00000004018 1 1570272 1698694
ENSSSCG00000038097 1 1665568 1665643
ENSSSCG00000047676 1 1698914 1709785
ENSSSCG00000047753 1 1699913 1706334
ENSSSCG00000027404 1 1930020 1958142
ENSSSCG00000022580 1 1974565 1976119
ENSSSCG00000032403 1 1981178 1997250
ENSSSCG00000062590 1 2003172 2008112
ENSSSCG00000024562 1 2018608 2019821
ENSSSCG00000034196 1 2074662 2074974
ENSSSCG00000004023 1 2094870 2120812
ENSSSCG00000043814 1 2120989 2128580
ENSSSCG00000004024 1 2144307 2164767
ENSSSCG00000004022 1 2203606 2522599
ENSSSCG00000048885 1 2528230 2537310
ENSSSCG00000032916 1 2541383 2552858
ENSSSCG00000062746 1 2557939 2564417
ENSSSCG00000004020 1 2576729 2593506
ENSSSCG00000062461 1 2594117 2598265
ENSSSCG00000036609 1 2717165 2725601
ENSSSCG00000036448 1 2775540 2792411
ENSSSCG00000053394 1 2816676 2819879
ENSSSCG00000042499 1 2817799 2824357
ENSSSCG00000004027 1 2829411 3392651
ENSSSCG00000034772 1 2893742 2893818
ENSSSCG00000051306 1 2957622 2962583
ENSSSCG00000019654 1 3065680 3065779
ENSSSCG00000059287 1 3529105 3535358
ENSSSCG00000061338 1 4723451 4728412
ENSSSCG00000004029 1 4735514 4883392
ENSSSCG00000052194 1 4888058 4895055
ENSSSCG00000054024 1 4888334 4896324
ENSSSCG00000050646 1 4911466 4917271
ENSSSCG00000058194 1 4924359 4929091
ENSSSCG00000053277 1 4946953 4953201
ENSSSCG00000038153 1 4967224 5465064
ENSSSCG00000047165 1 5348804 5354009
ENSSSCG00000004032 1 5465312 6730872
ENSSSCG00000038784 1 5529244 5529376
ENSSSCG00000059587 1 6732360 6735659
ENSSSCG00000053549 1 6746807 6747800
ENSSSCG00000004033 1 6772417 6883551
ENSSSCG00000063447 1 6883652 6887713
ENSSSCG00000004037 1 6891265 7049775
ENSSSCG00000004038 1 7061192 7110555
ENSSSCG00000004039 1 7110074 7207401
ENSSSCG00000018769 1 7230644 7230770
ENSSSCG00000004040 1 7289831 7323146
ENSSSCG00000004041 1 7340126 7365520
ENSSSCG00000004044 1 7368103 7472548
ENSSSCG00000059431 1 7527861 7528838
ENSSSCG00000004046 1 7559745 7579197
ENSSSCG00000004047 1 7581764 7590031
ENSSSCG00000004048 1 7590140 7601795
ENSSSCG00000018530 1 7593176 7593315
ENSSSCG00000004049 1 7598735 7612866
ENSSSCG00000018605 1 7599025 7599157
ENSSSCG00000004050 1 7622547 7651961
ENSSSCG00000040317 1 7679352 7689560
ENSSSCG00000004052 1 8007321 8106830
ENSSSCG00000058272 1 8170758 8176942
ENSSSCG00000004053 1 8209314 8219630
ENSSSCG00000004055 1 8244040 8265659
ENSSSCG00000053023 1 8278699 8281915
ENSSSCG00000060777 1 8307941 8312613
ENSSSCG00000052920 1 8323479 8328478
ENSSSCG00000046349 1 8348658 8355018
ENSSSCG00000004058 1 8403453 8452742
ENSSSCG00000004057 1 8453283 8546530
ENSSSCG00000033107 1 8556059 8563676
ENSSSCG00000024876 1 8562844 8635462
ENSSSCG00000061525 1 8637813 8644507
ENSSSCG00000031776 1 8655544 8824497
ENSSSCG00000058060 1 8886814 8891212
ENSSSCG00000024019 1 8917240 8934983
ENSSSCG00000012314 1 8935091 9002770
ENSSSCG00000012315 1 9014551 9109103
ENSSSCG00000030535 1 9130338 9239029
ENSSSCG00000046713 1 9283867 9291189
ENSSSCG00000035027 1 9350332 9619725
ENSSSCG00000038527 1 9620679 9624173
ENSSSCG00000057897 1 9634167 9640171
ENSSSCG00000062775 1 9635619 9640171
ENSSSCG00000050758 1 9658779 9665566
ENSSSCG00000060508 1 9667904 9671585
ENSSSCG00000050351 1 9746166 9749559
ENSSSCG00000004064 1 9791633 10227502
ENSSSCG00000051789 1 10013205 10016356
ENSSSCG00000056648 1 10406415 10409653
ENSSSCG00000061773 1 10445161 10450600
ENSSSCG00000045185 1 10483580 10483649
ENSSSCG00000057033 1 10664552 10671066
ENSSSCG00000050400 1 10700366 10700456
ENSSSCG00000047964 1 10726365 10756957
ENSSSCG00000054035 1 10850480 10855561
ENSSSCG00000051971 1 10914097 10981997
ENSSSCG00000054849 1 11039025 11042816
ENSSSCG00000061397 1 11343986 11348981
ENSSSCG00000004068 1 11445956 11501979
ENSSSCG00000024361 1 11566245 11653871
ENSSSCG00000063189 1 11617807 11618550
ENSSSCG00000004065 1 11648508 11759348
ENSSSCG00000054741 1 11815319 11877622
ENSSSCG00000055261 1 11822711 11825703
ENSSSCG00000054787 1 11845455 11851650
ENSSSCG00000054439 1 11911375 11914723
ENSSSCG00000055819 1 11923249 11941747
ENSSSCG00000060766 1 11957379 11964244
ENSSSCG00000058871 1 11991603 11998773
ENSSSCG00000052174 1 12004999 12008885
ENSSSCG00000052694 1 12017342 12022468
ENSSSCG00000004070 1 12040485 12122337
ENSSSCG00000004071 1 12297676 12396688
ENSSSCG00000043123 1 12397660 12404024
ENSSSCG00000049297 1 12482052 12485211
ENSSSCG00000046319 1 12506220 12602724
ENSSSCG00000004074 1 12528672 12702443
ENSSSCG00000004075 1 13340355 13442039
ENSSSCG00000054729 1 13443166 13446375
ENSSSCG00000004076 1 13446492 13458287
ENSSSCG00000060161 1 13463327 13467169
ENSSSCG00000004077 1 13467501 13505928
ENSSSCG00000055791 1 13589489 13595147
ENSSSCG00000004078 1 13611311 13620269
ENSSSCG00000031536 1 13651399 13667284
ENSSSCG00000004081 1 13715174 13932123
ENSSSCG00000059324 1 14008668 14010052
ENSSSCG00000049158 1 14013849 14024472
ENSSSCG00000004082 1 14028859 14201706
ENSSSCG00000025777 1 14217036 14493363
ENSSSCG00000046251 1 14361305 14364980
ENSSSCG00000004087 1 14657359 14751051
ENSSSCG00000004088 1 14772610 14795318
ENSSSCG00000004089 1 14795674 14855069
ENSSSCG00000050987 1 14855149 14865095
ENSSSCG00000042025 1 14855962 14857979
ENSSSCG00000004090 1 14866252 14894948
ENSSSCG00000031733 1 14904116 15016997
ENSSSCG00000004092 1 15140899 15329986
ENSSSCG00000032778 1 15341638 15587590
ENSSSCG00000026396 1 15357031 15357214
ENSSSCG00000040966 1 15730101 15731372
ENSSSCG00000004093 1 15756550 15779164
ENSSSCG00000004094 1 15865220 15949956
ENSSSCG00000035574 1 16002128 16013893
ENSSSCG00000032525 1 16022399 16026536
ENSSSCG00000033578 1 16043508 16047572
ENSSSCG00000004096 1 16057207 16089387
ENSSSCG00000041378 1 16096071 16100494
ENSSSCG00000026042 1 16113780 16119273
ENSSSCG00000004101 1 16139496 16198969
ENSSSCG00000004103 1 16198223 16249531
ENSSSCG00000004105 1 16249546 16267624
ENSSSCG00000031644 1 16273665 16275360
ENSSSCG00000004106 1 16274970 16320604
ENSSSCG00000004104 1 16321355 16360798
ENSSSCG00000030067 1 16360370 16381864
ENSSSCG00000028867 1 16400983 16446854
ENSSSCG00000004109 1 16465252 16498971
ENSSSCG00000004110 1 16533285 16611884
ENSSSCG00000055645 1 16747308 16752438
ENSSSCG00000028974 1 16840533 17138392
ENSSSCG00000042082 1 17142455 17145258
ENSSSCG00000033175 1 17306373 17511672
ENSSSCG00000054991 1 17619423 17623010
ENSSSCG00000062018 1 17622618 17626005
ENSSSCG00000053439 1 17649728 17654124
ENSSSCG00000054300 1 17649749 17654747
ENSSSCG00000059819 1 17656975 17662789
ENSSSCG00000053361 1 17666217 17669404
ENSSSCG00000048882 1 17697552 17700514
ENSSSCG00000043818 1 17701886 17705277
ENSSSCG00000061000 1 17716945 17720254
ENSSSCG00000056358 1 17768984 17774038
ENSSSCG00000060475 1 17768985 17772878
ENSSSCG00000044949 1 17774145 17777771
ENSSSCG00000057539 1 17780562 17783876
ENSSSCG00000046600 1 17780626 17784348
ENSSSCG00000047761 1 17786530 17789408
ENSSSCG00000057293 1 17801265 17807217
ENSSSCG00000058965 1 17811981 17815173
ENSSSCG00000062943 1 17837308 17841749
ENSSSCG00000053486 1 17857127 17862854
ENSSSCG00000061336 1 17866096 17873911
ENSSSCG00000056641 1 17866096 17869462
ENSSSCG00000049293 1 17875419 17878916
ENSSSCG00000060937 1 17894821 17899758
ENSSSCG00000055386 1 17911549 17916892
ENSSSCG00000053033 1 17917681 17922613
ENSSSCG00000052793 1 17940685 17947022
ENSSSCG00000060702 1 17956751 17961424
ENSSSCG00000054837 1 17974693 17978610
ENSSSCG00000051997 1 17983694 17988574
ENSSSCG00000060051 1 17993944 17999080
ENSSSCG00000042893 1 18016909 18019864
ENSSSCG00000056435 1 18032105 18034143
